CAPTCHATYPE,ContentLength,StatusCode,URL
NO CAPTCHA DETECTED,709585,200,https://www.udemy.com/
NO CAPTCHA DETECTED,839555,200,https://www.sofi.com/
NO CAPTCHA DETECTED,349617,200,https://www.connectwise.com/
NO CAPTCHA DETECTED,389234,200,https://www.delta.com/
NO CAPTCHA DETECTED,210442,200,https://www.airtahiti.com/
NO CAPTCHA DETECTED,272035,200,https://chatgpt.com/
NO CAPTCHA DETECTED,610354,200,https://pos.toasttab.com/
NO CAPTCHA DETECTED,129897,200,https://www.eon.com/en.html
NO CAPTCHA DETECTED,154994,200,https://www.crowe.com/
NO CAPTCHA DETECTED,888784,200,https://www.lego.com/en-us
NO CAPTCHA DETECTED,56070,200,https://www.web.com/
NO CAPTCHA DETECTED,533657,200,https://www.colliers.com/en
Google V2 with Check Box (Could Trigger Visible or Invisible) CAPTCHA,296865,200,https://www.cummins.com/en-na
NO CAPTCHA DETECTED,41284,200,https://www.researchgate.net/
NO CAPTCHA DETECTED,466236,200,https://www.abbvie.com/
NO CAPTCHA DETECTED,377308,200,https://grok.com/
CLOUDFARE TURNSTILE CAPTCHA,14396,200,https://claude.ai/logout
Invisible Google V2 CAPTCHA,274087,200,https://jobs.experian.com/jobs
Invisible Google V2 CAPTCHA,314096,200,https://rtcamp.com/
Invisible Google V2 CAPTCHA,268201,200,https://www.amp.com.au/
NO CAPTCHA DETECTED,192960,200,https://www.axi.com/int
Google V2 with Check Box (Could Trigger Visible or Invisible) CAPTCHA,1089935,200,https://www.cardinalhealth.com/en.html
Invisible Google V2 CAPTCHA,380981,200,https://www.cvent.com/
Invisible Google V2 CAPTCHA,458483,200,https://www.interface.com/US/en-US.html
Invisible Google V2 CAPTCHA,321620,200,https://www.moodys.com/
Invisible Google V2 CAPTCHA,1550113,200,https://www.sierrawireless.com/
Invisible Google V2 CAPTCHA,1088067,200,https://www.slb.com/
Invisible Google V2 CAPTCHA,204200,200,https://www.travelers.com/
Invisible Google V2 CAPTCHA,544506,200,https://www.weber.com/US/en/home/
Invisible Google V2 CAPTCHA,129479,200,https://www.cookieyes.com/
Invisible HCAPTCHA CAPTCHA,1054567,200,https://www.veeam.com/
Invisible HCAPTCHA CAPTCHA,414145,200,https://www.riotgames.com/en
Invisible HCAPTCHA CAPTCHA,54096,200,https://accounts.shopify.com/lookup?rid=8d9456c2-cf28-4112-b55d-fde0bf245b01&verify=1774039214-wyt%2FdboKFcBX1IFHSgyuzacnSxofK5NYNtJ6D%2ByCx9I%3D
Invisible HCAPTCHA CAPTCHA,160003,200,https://dashboard.stripe.com/login
Invisible HCAPTCHA CAPTCHA,9328,200,https://www.epicgames.com/id/login
Passive HCAPTCHA CAPTCHA,136837,200,https://store.steampowered.com/join
Active Challenge MTCAPTCHA,863852,200,https://www.bader.at/meinbader/anmeldung
Low-Friction MTCAPTCHA,809683,200,https://www.goyard.com/us_en/customer/account/create/referer/
Active Challenge MTCAPTCHA,311974,200,https://www.monamoda.nl/mijnaccount/aanmelding
Active Challenge MTCAPTCHA,826460,200,https://www.klingel.nl/mijnaccount/aanmelding
Google Enterprise CAPTCHA (Invisible),110680,200,https://www.ghd.com/en/contact-us
Active Challenge MTCAPTCHA,556821,200,https://www.brigitte-salzburg.at/meinkonto/anmeldung
Active Challenge MTCAPTCHA,279638,200,https://amperecomputing.com/auth/register
NO CAPTCHA DETECTED,12405334,200,https://edpuzzle.com/
Active Challenge MTCAPTCHA,96795,200,https://admin.mtcaptcha.com/signup/profile?plantype=A
Google Enterprise CAPTCHA (Invisible),626797,200,https://www.amtrak.com/home
Non-intrusive ALTCHA Captcha,58446,200,https://www.maximiles.com/
Non-intrusive ALTCHA Captcha,675033,200,https://www.qcitymetro.com/
