CAPTCHATYPE,ContentLength,StatusCode,URL
CLOUDFARE TURNSTILE CAPTCHA,31009,403,https://www.udemy.com/
HARD BLOCK BY WEBSITE,321015,403,https://www.sofi.com/
NO CAPTCHA DETECTED,333456,200,https://www.connectwise.com/
NO CAPTCHA DETECTED,388905,200,https://www.delta.com/
CLOUDFARE TURNSTILE CAPTCHA,31671,403,https://www.colliers.com/
CLOUDFARE TURNSTILE CAPTCHA,31631,403,https://www.airtahiti.com/
CLOUDFARE TURNSTILE CAPTCHA,9779,403,https://chatgpt.com/
CLOUDFARE TURNSTILE CAPTCHA,33325,403,https://pos.toasttab.com/
CLOUDFARE TURNSTILE CAPTCHA,33158,403,https://www.eon.com/
CLOUDFARE TURNSTILE CAPTCHA,31662,403,https://www.crowe.com/
CLOUDFARE TURNSTILE CAPTCHA,33387,403,https://www.lego.com/
CLOUDFARE TURNSTILE CAPTCHA,255045,403,https://www.web.com/
CLOUDFARE TURNSTILE CAPTCHA,31719,403,https://www.cummins.com/en-na
HARD BLOCK BY WEBSITE,21277,403,https://www.researchgate.net/
HARD BLOCK BY WEBSITE,4881,403,https://www.abbvie.com/
NO CAPTCHA DETECTED,355148,200,https://grok.com/
HARD BLOCK BY WEBSITE,33407,403,https://claude.ai/new
Invisible Google V2 CAPTCHA,286248,200,https://jobs.experian.com/jobs
Invisible Google V2 CAPTCHA,314394,200,https://rtcamp.com/
Invisible Google V2 CAPTCHA,268821,200,https://www.amp.com.au/
Google Enterprise CAPTCHA (Invisible),632466,200,https://www.amtrak.com/home
NO CAPTCHA DETECTED,427199,200,https://www.axi.com/int
Google V2 with Check Box (Could Trigger Visible or Invisible) CAPTCHA,1099107,200,https://www.cardinalhealth.com/en.html
Invisible Google V2 CAPTCHA,374272,200,https://www.cvent.com/
Invisible Google V2 CAPTCHA,594233,200,https://www.interface.com/US/en-US.html
Invisible Google V2 CAPTCHA,321620,200,https://www.moodys.com/
Invisible Google V2 CAPTCHA,1549896,200,https://www.sierrawireless.com/
Invisible Google V2 CAPTCHA,1089227,200,https://www.slb.com/
Invisible Google V2 CAPTCHA,204201,200,https://www.travelers.com/
Invisible Google V2 CAPTCHA,544928,200,https://www.weber.com/US/en/home/
Invisible Google V2 CAPTCHA,129742,200,https://www.cookieyes.com/
Invisible HCAPTCHA CAPTCHA,1057718,200,https://www.veeam.com/
Invisible HCAPTCHA CAPTCHA,406889,200,https://www.riotgames.com/en
CLOUDFARE TURNSTILE CAPTCHA,12239,403,https://admin.shopify.com/
Invisible HCAPTCHA CAPTCHA,156102,200,https://dashboard.stripe.com/login
CLOUDFARE TURNSTILE CAPTCHA,28569,403,https://www.epicgames.com/id/login
Passive HCAPTCHA CAPTCHA,137270,200,https://store.steampowered.com/join
Active Challenge MTCAPTCHA,863852,200,https://www.bader.at/meinbader/anmeldung
Active Challenge MTCAPTCHA,899449,200,https://www.goyard.com/us_en/customer/account/create/referer/
Active Challenge MTCAPTCHA,311974,200,https://www.monamoda.nl/mijnaccount/aanmelding
Active Challenge MTCAPTCHA,826460,200,https://www.klingel.nl/mijnaccount/aanmelding
Google Enterprise CAPTCHA (Invisible),109818,200,https://www.ghd.com/en/contact-us
Active Challenge MTCAPTCHA,556781,200,https://www.brigitte-salzburg.at/meinkonto/anmeldung
Active Challenge MTCAPTCHA,282529,200,https://amperecomputing.com/auth/register
NO CAPTCHA DETECTED,12419049,200,https://edpuzzle.com/
Active Challenge MTCAPTCHA,96795,200,https://admin.mtcaptcha.com/signup/profile?plantype=A
Non-intrusive ALTCHA Captcha,58469,200,https://www.maximiles.com/
Non-intrusive ALTCHA Captcha,675480,200,https://www.qcitymetro.com/
