CAPTCHATYPE,ContentLength,StatusCode,URL
CLOUDFARE TURNSTILE CAPTCHA,30879,403,https://www.udemy.com/
CLOUDFARE TURNSTILE CAPTCHA,321164,403,https://www.sofi.com/
CLOUDFARE TURNSTILE CAPTCHA,340674,200,https://www.connectwise.com/
HARD BLOCK BY WEBSITE,193,444,https://www.delta.com/
CLOUDFARE TURNSTILE CAPTCHA,31692,403,https://www.colliers.com/
CLOUDFARE TURNSTILE CAPTCHA,31652,403,https://www.airtahiti.com/
CLOUDFARE TURNSTILE CAPTCHA,9673,403,https://chatgpt.com/
CLOUDFARE TURNSTILE CAPTCHA,33346,403,https://pos.toasttab.com/
CLOUDFARE TURNSTILE CAPTCHA,33331,403,https://www.eon.com/
CLOUDFARE TURNSTILE CAPTCHA,31683,403,https://www.crowe.com/
CLOUDFARE TURNSTILE CAPTCHA,33311,403,https://www.lego.com/
CLOUDFARE TURNSTILE CAPTCHA,255263,403,https://www.web.com/
CLOUDFARE TURNSTILE CAPTCHA,31609,403,https://www.cummins.com/en-na
HARD BLOCK BY WEBSITE,21285,403,https://www.researchgate.net/
HARD BLOCK BY WEBSITE,4881,403,https://www.abbvie.com/
NO CAPTCHA DETECTED,380861,200,https://grok.com/
CLOUDFARE TURNSTILE CAPTCHA,33407,403,https://claude.ai/new
Invisible Google V2 CAPTCHA,286255,200,https://jobs.experian.com/jobs
Invisible Google V2 CAPTCHA,314077,200,https://rtcamp.com/
Invisible Google V2 CAPTCHA,274228,200,https://www.amp.com.au/
Google Enterprise CAPTCHA (Invisible),623697,200,https://www.amtrak.com/home
NO CAPTCHA DETECTED,192965,200,https://www.axi.com/int
NO CAPTCHA DETECTED,185221,200,https://www.cardinalhealth.com/en.html
Invisible Google V2 CAPTCHA,377410,200,https://www.cvent.com/
Invisible Google V2 CAPTCHA,596157,200,https://www.interface.com/US/en-US.html
Invisible Google V2 CAPTCHA,260933,200,https://www.moodys.com/
Invisible Google V2 CAPTCHA,1543189,200,https://www.sierrawireless.com/
Invisible Google V2 CAPTCHA,1039819,200,https://www.slb.com/
Invisible Google V2 CAPTCHA,204221,200,https://www.travelers.com/
Invisible Google V2 CAPTCHA,543837,200,https://www.weber.com/US/en/home/
Invisible Google V2 CAPTCHA,129737,200,https://www.cookieyes.com/
Invisible HCAPTCHA CAPTCHA,1063952,200,https://www.veeam.com/
NO CAPTCHA DETECTED,414976,200,https://www.riotgames.com/en
CLOUDFARE TURNSTILE CAPTCHA,12260,403,https://admin.shopify.com/
Invisible HCAPTCHA CAPTCHA,160061,200,https://dashboard.stripe.com/login
CLOUDFARE TURNSTILE CAPTCHA,28591,403,https://www.epicgames.com/id/login
Passive HCAPTCHA CAPTCHA,135628,200,https://store.steampowered.com/join
Active Challenge MTCAPTCHA,881035,200,https://www.bader.at/meinbader/anmeldung
Active Challenge MTCAPTCHA,810845,200,https://www.goyard.com/us_en/customer/account/create/referer/
Active Challenge MTCAPTCHA,319000,200,https://www.monamoda.nl/mijnaccount/aanmelding
Active Challenge MTCAPTCHA,842263,200,https://www.klingel.nl/mijnaccount/aanmelding
Google Enterprise CAPTCHA (Invisible),109719,200,https://www.ghd.com/en/contact-us
Active Challenge MTCAPTCHA,569332,200,https://www.brigitte-salzburg.at/meinkonto/anmeldung
Active Challenge MTCAPTCHA,279638,200,https://amperecomputing.com/auth/register
HARD BLOCK BY WEBSITE,3609,403,https://edpuzzle.com/
Active Challenge MTCAPTCHA,96795,200,https://admin.mtcaptcha.com/signup/profile?plantype=A
Non-intrusive ALTCHA Captcha,64946,200,https://www.maximiles.com/
Non-intrusive ALTCHA Captcha,675479,200,https://www.qcitymetro.com/
