CAPTCHATYPE,ContentLength,StatusCode,URL
NO CAPTCHA DETECTED,469945,200,https://www.udemy.com/
NO CAPTCHA DETECTED,197310,200,https://www.sofi.com/
NO CAPTCHA DETECTED,200943,200,https://www.connectwise.com/
NO CAPTCHA DETECTED,37606,200,https://www.delta.com/
NO CAPTCHA DETECTED,317595,200,https://www.colliers.com/
NO CAPTCHA DETECTED,60919,200,https://www.airtahiti.com/
NO CAPTCHA DETECTED,283623,200,https://chatgpt.com/
NO CAPTCHA DETECTED,585606,200,https://pos.toasttab.com/
NO CAPTCHA DETECTED,123179,200,https://www.eon.com/
NO CAPTCHA DETECTED,136564,200,https://www.crowe.com/
NO CAPTCHA DETECTED,819856,200,https://www.lego.com/
NO CAPTCHA DETECTED,26909,200,https://www.web.com/
Google V2 with Check Box (Could Trigger Visible or Invisible) CAPTCHA,250122,200,https://www.cummins.com/
NO CAPTCHA DETECTED,39892,200,https://www.researchgate.net/
NO CAPTCHA DETECTED,268362,200,https://www.abbvie.com/
NO CAPTCHA DETECTED,334471,200,https://grok.com/
NO CAPTCHA DETECTED,8195,200,https://claude.ai/new
Invisible Google V3 CAPTCHA,272264,200,https://jobs.experian.com/jobs
Invisible Google V3 CAPTCHA,312054,200,https://rtcamp.com/
Invisible Google V3 CAPTCHA,263000,200,https://www.amp.com.au/
Google Enterprise CAPTCHA (Invisible),238273,200,https://www.amtrak.com/home
NO CAPTCHA DETECTED,1375270,200,https://www.axi.com/int
Google V2 with Check Box (Could Trigger Visible or Invisible) CAPTCHA,942049,200,https://www.cardinalhealth.com/en.html
Invisible Google V3 CAPTCHA,273094,200,https://www.cvent.com/
Invisible Google V3 CAPTCHA,454186,200,https://www.interface.com/US/en-US.html
NO CAPTCHA DETECTED,142409,200,https://www.moodys.com/
Invisible Google V3 CAPTCHA,1418301,200,https://www.sierrawireless.com/
Invisible Google V3 CAPTCHA,1037340,200,https://www.slb.com/
Invisible Google V3 CAPTCHA,201326,200,https://www.travelers.com/
NO CAPTCHA DETECTED,436754,200,https://www.weber.com/US/en/home/
Invisible Google V3 CAPTCHA,128042,200,https://www.cookieyes.com/
Invisible HCAPTCHA CAPTCHA,319844,200,https://www.veeam.com/
Invisible HCAPTCHA CAPTCHA,414145,200,https://www.riotgames.com/en
Invisible HCAPTCHA CAPTCHA,54096,200,https://accounts.shopify.com/lookup?rid=8d9456c2-cf28-4112-b55d-fde0bf245b01&verify=1774039214-wyt%2FdboKFcBX1IFHSgyuzacnSxofK5NYNtJ6D%2ByCx9I%3D
NO CAPTCHA DETECTED,130320,200,https://dashboard.stripe.com/login
Invisible HCAPTCHA CAPTCHA,7092,200,https://www.epicgames.com/id/login
Invisible HCAPTCHA CAPTCHA,137300,200,https://store.steampowered.com/join
Low-Friction MTCAPTCHA,863852,200,https://www.bader.at/meinbader/anmeldung
Low-Friction MTCAPTCHA,67973,200,https://www.goyard.com/us_en/customer/account/create/referer/
Low-Friction MTCAPTCHA,310380,200,https://www.monamoda.nl/mijnaccount/aanmelding
Low-Friction MTCAPTCHA,825200,200,https://www.klingel.nl/mijnaccount/aanmelding
Google Enterprise CAPTCHA (Invisible),110680,200,https://www.ghd.com/en/contact-us
Low-Friction MTCAPTCHA,554102,200,https://www.brigitte-salzburg.at/meinkonto/anmeldung
Low-Friction MTCAPTCHA,253487,200,https://amperecomputing.com/auth/register
NO CAPTCHA DETECTED,12270345,200,https://edpuzzle.com/
Low-Friction MTCAPTCHA,87849,200,https://admin.mtcaptcha.com/signup/profile?plantype=A
Standard ALTCHA Captcha,52919,200,https://www.maximiles.com/
Non-intrusive ALTCHA Captcha,621350,200,https://www.qcitymetro.com/
