CAPTCHATYPE,ContentLength,StatusCode,URL
NO CAPTCHA DETECTED,469945,200,https://www.udemy.com/
NO CAPTCHA DETECTED,205622,200,https://www.sofi.com/
NO CAPTCHA DETECTED,201112,200,https://www.connectwise.com/
NO CAPTCHA DETECTED,45924,200,https://www.delta.com/
NO CAPTCHA DETECTED,275899,200,https://www.colliers.com/
NO CAPTCHA DETECTED,60727,200,https://www.airtahiti.com/
NO CAPTCHA DETECTED,283938,200,https://chatgpt.com/
NO CAPTCHA DETECTED,585606,200,https://pos.toasttab.com/
NO CAPTCHA DETECTED,123179,200,https://www.eon.com/
NO CAPTCHA DETECTED,143470,200,https://www.crowe.com/
NO CAPTCHA DETECTED,813947,200,https://www.lego.com/
NO CAPTCHA DETECTED,26892,200,https://www.web.com/
Google V2 with Check Box (Could Trigger Visible or Invisible) CAPTCHA,250554,200,https://www.cummins.com/
NO CAPTCHA DETECTED,138254,200,https://www.researchgate.net/
NO CAPTCHA DETECTED,268725,200,https://www.abbvie.com/
NO CAPTCHA DETECTED,334543,200,https://grok.com/
NO CAPTCHA DETECTED,8195,200,https://claude.ai/new
Invisible Google V3 CAPTCHA,271986,200,https://jobs.experian.com/jobs
Invisible Google V3 CAPTCHA,311802,200,https://rtcamp.com/
Invisible Google V3 CAPTCHA,263930,200,https://www.amp.com.au/
Google Enterprise CAPTCHA (Invisible),238273,200,https://www.amtrak.com/home
NO CAPTCHA DETECTED,180370,200,https://www.axi.com/int
Google V2 with Check Box (Could Trigger Visible or Invisible) CAPTCHA,942402,200,https://www.cardinalhealth.com/en.html
Invisible Google V3 CAPTCHA,255683,200,https://www.cvent.com/
Invisible Google V3 CAPTCHA,452333,200,https://www.interface.com/US/en-US.html
Invisible Google V3 CAPTCHA,140632,200,https://www.moodys.com/
NO CAPTCHA DETECTED,175189,200,https://www.sierrawireless.com/
Invisible Google V3 CAPTCHA,1039711,200,https://www.slb.com/
Invisible Google V3 CAPTCHA,203243,200,https://www.travelers.com/
NO CAPTCHA DETECTED,436481,200,https://www.weber.com/US/en/home/
Invisible Google V3 CAPTCHA,11461,200,https://www.cookieyes.com/
Invisible HCAPTCHA CAPTCHA,420070,200,https://www.veeam.com/
NO CAPTCHA DETECTED,351835,200,https://www.riotgames.com/en
NO CAPTCHA DETECTED,36795,200,https://accounts.shopify.com/session-service/login?state=c4651661-6b98-46c3-88e3-df7958dd2626&prompt=select_account&verify=1774043641-9X93DdejChvz2GLDEVBFWaMPi2iZtU1NAK3spiPzC90%3D
NO CAPTCHA DETECTED,130321,200,https://dashboard.stripe.com/login
Invisible HCAPTCHA CAPTCHA,7092,200,https://www.epicgames.com/id/login
Invisible HCAPTCHA CAPTCHA,137907,200,https://store.steampowered.com/join
Low-Friction MTCAPTCHA,863852,200,https://www.bader.at/meinbader/anmeldung
Low-Friction MTCAPTCHA,896289,200,https://www.goyard.com/us_en/
Low-Friction MTCAPTCHA,311974,200,https://www.monamoda.nl/mijnaccount/aanmelding
Low-Friction MTCAPTCHA,837991,200,https://www.klingel.nl/mijnaccount/aanmelding
Google Enterprise CAPTCHA (Invisible),110680,200,https://www.ghd.com/en/contact-us
Low-Friction MTCAPTCHA,541466,200,https://www.brigitte-salzburg.at/meinkonto/anmeldung
NO CAPTCHA DETECTED,253487,200,https://amperecomputing.com/
NO CAPTCHA DETECTED,12396730,200,https://edpuzzle.com/
Low-Friction MTCAPTCHA,97126,200,https://admin.mtcaptcha.com/signup/profile?plantype=A
Standard ALTCHA Captcha,59433,200,https://www.maximiles.com/
Non-intrusive ALTCHA Captcha,620340,200,https://www.qcitymetro.com/
