CAPTCHATYPE,ContentLength,StatusCode,URL
CLOUDFARE TURNSTILE CAPTCHA,31568,200,https://www.colliers.com/
CLOUDFARE TURNSTILE CAPTCHA,9671,200,https://chatgpt.com/
Invisible Google V2 CAPTCHA,276592,200,https://www.cvent.com/
CLOUDFARE TURNSTILE CAPTCHA,28270,200,https://www.epicgames.com/id/login
Active Challenge MTCAPTCHA,488873,200,https://www.brigitte-salzburg.at/meinkonto/anmeldung
Non-intrusive ALTCHA Captcha,48437,200,https://www.qcitymetro.com/
CLOUDFARE TURNSTILE CAPTCHA,30928,200,https://www.udemy.com/
CLOUDFARE TURNSTILE CAPTCHA,318681,200,https://www.sofi.com/
CLOUDFARE TURNSTILE CAPTCHA,340686,200,https://www.connectwise.com/
NO CAPTCHA DETECTED,193,200,https://www.delta.com/
CLOUDFARE TURNSTILE CAPTCHA,31680,200,https://www.airtahiti.com/
CLOUDFARE TURNSTILE CAPTCHA,30873,200,https://pos.toasttab.com/
CLOUDFARE TURNSTILE CAPTCHA,33037,200,https://www.eon.com/
CLOUDFARE TURNSTILE CAPTCHA,31690,200,https://www.crowe.com/
CLOUDFARE TURNSTILE CAPTCHA,32976,200,https://www.lego.com/
CLOUDFARE TURNSTILE CAPTCHA,254894,200,https://www.web.com/
CLOUDFARE TURNSTILE CAPTCHA,31616,200,https://www.cummins.com/en-na
NO CAPTCHA DETECTED,21284,200,https://www.researchgate.net/
HARD BLOCK BY WEBSITE,4881,200,https://www.abbvie.com/
NO CAPTCHA DETECTED,411033,200,https://grok.com/
Invisible Google V2 CAPTCHA,314485,200,https://rtcamp.com/
Invisible Google V2 CAPTCHA,273305,200,https://www.amp.com.au/
Google Enterprise CAPTCHA (Invisible),633151,200,https://www.amtrak.com/home
NO CAPTCHA DETECTED,185221,200,https://www.cardinalhealth.com/en.html
CLOUDFARE TURNSTILE CAPTCHA,32921,200,https://claude.ai/new
Invisible Google V2 CAPTCHA,1546660,200,https://www.sierrawireless.com/
Invisible Google V2 CAPTCHA,1095166,200,https://www.slb.com/
Invisible Google V2 CAPTCHA,348613,200,https://www.travelers.com/
Invisible Google V2 CAPTCHA,557136,200,https://www.weber.com/US/en/home/
Invisible HCAPTCHA CAPTCHA,1047118,200,https://www.veeam.com/
Invisible Google V2 CAPTCHA,594837,200,https://www.interface.com/US/en-US.html
Invisible HCAPTCHA CAPTCHA,400416,200,https://www.riotgames.com/en
CLOUDFARE TURNSTILE CAPTCHA,11939,200,https://admin.shopify.com/
Invisible HCAPTCHA CAPTCHA,159832,200,https://dashboard.stripe.com/login
Invisible Google V2 CAPTCHA,317608,200,https://www.moodys.com/
Passive HCAPTCHA CAPTCHA,150235,200,https://store.steampowered.com/join
NO CAPTCHA DETECTED,181777,200,https://www.axi.com/int
Active Challenge MTCAPTCHA,778010,200,https://www.bader.at/meinbader/anmeldung
Active Challenge MTCAPTCHA,813052,200,https://www.goyard.com/us_en/customer/account/create/referer/
Invisible Google V2 CAPTCHA,130123,200,https://www.cookieyes.com/
Active Challenge MTCAPTCHA,306154,200,https://www.monamoda.nl/mijnaccount/aanmelding
Active Challenge MTCAPTCHA,734178,200,https://www.klingel.nl/mijnaccount/aanmelding
Google V2 with Check Box (Could Trigger Visible or Invisible) CAPTCHA,72210,200,https://www.ghd.com/en/contact-us
NO CAPTCHA DETECTED,146913,200,https://amperecomputing.com/auth/register
NO CAPTCHA DETECTED,3609,200,https://edpuzzle.com/
Active Challenge MTCAPTCHA,96795,200,https://admin.mtcaptcha.com/signup/profile?plantype=A
Non-intrusive ALTCHA Captcha,58470,200,https://www.maximiles.com/
Invisible Google V2 CAPTCHA,2276,200,https://jobs.experian.com/jobs
